id	sentiment	review
51	0	If you are under 15 years of age or a minor in your country of residence, please ask your legal guardian’s permission to use or access the Services. Eyewind takes children’s privacy seriously, and encourages parents and/or guardians to play an active role in their children's online experience at all times. Eyewind does not knowingly collect any personal information from children below the aforementioned age and if Eyewind learns that Eyewind has inadvertently gathered personal data from children under the aforementioned age, Eyewind will take reasonable measures to promptly erase such personal data from Eyewind’s records.
52	1	After OneNote has been installed, future Internet requests from that device might contain standard telemetry information that includes the name of your software product and the version number. This information is used by websites to give you materials compatible with OneNote.
53	1	To connect you with other imo users in your mobile device address book.
54	0	Each operation function can only be realized with some basic personal information (See 'Clause I' of this Privacy Policy). In addition, you can contact the customer service personnel of Tantan to grant or withdraw your authorization and consent for the collection and use of additional personal information.
55	0	You also have the right to withdraw your consent at any time where Anghami relied on your consent to process your personal information.
56	1	Protect against or deter fraudulent, illegal or harmful actions
57	0	To find the Microsoft subsidiary in your country or region, see https://www.microsoft.com/worldwide/.
58	0	You can edit, update, or delete your account at any time.
59	0	As noted in the Terms of Use, we do not knowingly collect or solicit personal information from anyone under the age of 13. If you are under 13, please do not attempt to register for the Services or send any personal information about yourself to us. If we learn that we have collected personal information from a child under age 13, we will delete that information as quickly as possible. If you believe that a child under 13 may have provided us personal information, please contact us at support@inkitt.com.
60	0	Cookies: We collect technical information and usage data, which may be linked and identified with your account, by using cookies and other tracking technologies. We may use cookies to store certain types of information each time you use our Services. To find out more about how we use cookies, please review the additional information in this Privacy Policy under the Section entitled “Do we use cookies or other tracking technologies?”
61	0	Last updated on March 27th, 2019
62	0	We may allow third-party advertising partners to collect the advertising identifier and IP address from your mobile device and set tracking tools on your browser (e.g., cookies) to collect information regarding your activities (e.g., your IP address, page(s) visited, time of day). We may also share such de-identified information as well as selected personal information we have collected with third-party advertising partners. These advertising partners may use this information (and similar information collected from other websites) for purposes of delivering targeted advertisements to you when you visit non-imo related websites within their networks. This practice is commonly referred to as “interest-based advertising” or “online behavioral advertising. We may allow access to other data collected by the Site to facilitate transmittal of information that may be useful, relevant, valuable or otherwise of interest to you. If you prefer that we do not share your personal information with third-party advertising partners, you may opt-out of such sharing at no cost by following the instructions below.
63	1	When you access the Games via a third party social media provider such as Facebook, Twitter or Game Center, we may collect and store personal and non-personal information which is available on that third party social media provider, such as your Facebook or Twitter name, your profile picture or its URL, your Facebook ID and other public data of your friends, provided that you have expressly agreed to the use of Facebook cookies within the Games. We will also receive technical data in order to ensure the Games connect to the correct Facebook account.
64	1	Pages you visited before or after navigating to our website.
65	1	Usage Information. We collect information about your activity through our services. We may collect information including but not limited to:- How you interact with the services, such as which filters you view or the number of times apply to discover.
66	1	2.1 The use of our products and services as well as certain activities such as payment transactions, surveys, and forum communications will require customer information input and customer consent. This information may include: name, address, telephone number, as well as the brand name and model of the user’s mobile phone. Some examples may include:2.1.1 If you submit an order online or use our products and services, the required information will be collected, including but not limited to yours or your child’s CXZH.LTD UID, IMEI, IMSI,the phone number, brand and model of yours or your child’s mobile phone as well as your credit card number.2.1.2 If you ask for online technical support, certain required information will be collected, including but not limited to your name and address, the information relating to the hardware and software of your mobile phone as well as the specific problems you have encountered.2.1.3 CXZH.LTD’s products and services may at times need to access the internet (fees incurred thereby are charged by the local carrier) in a variety of circumstances, including without limitation to a) connect to the server to register for services; b) connect to cloud security platform to get basic data needed for anti-virus, anti-annoyance and other services to improve the quality of security service, ensure the CXZH.LTD product in your phone can protect you against the latest threats and reject the latest annoyance calls, etc; c) detect user type to ensure smooth provisioning of Pro Member services and non-Pro Member services; d) inquire about version update of product or service to ensure timeliness of the product or service; or e) provide other services.2.1.4 CXZH.LTD may also read the device identifier of yours or your child’s phone in a variety of circumstances, including without limitation: a) when you activate the products or services or register; b) when you subscribe to NQ products or services; c) when you or you child connect to the server with the products or services to update virus protection or anti-spam policy; d) providing targeted and customized security service according to your country or region; e) when you use the locate service of anti-lost to track the location of your phone; or f) according to other needs to provide services to the user or the needs to customize services for the user.2.1.5 CXZH.LTD may read your or your child’s SMS/MMS in a variety of circumstances, including without limitation: a) scan websites and attachments in the messages to ensure no malicious website or virus is contained; b) block spam messages; c) filter private messages; d) block fee-deduction SMS sent by apps to prevent malicious fee deduction; e) when you use SMS to recommend the product; f) SMS report for SIM change in anti-lost service, remote control report and alert, etc; or g) when you report suspicious spam messages to CXZH.LTD.2.1.6 CXZH.LTD may access your or your child’s contacts in a variety of circumstances, including without limitation: a) when you use the contacts backup service; b) when you use our products and services to group and manage contacts; or c) when you recommend the product or when you select import contacts as product/service requires you to input the phone number.2.2 Prior to requesting information from you on our websites, we will define the purposes for which such information is to be used. You, the customer, may then choose whether or not to proceed with the transaction and use our products and services and provide the appropriate information. If you prefer not to provide the required information, then the transaction shall be canceled.2.3 For the information we may collect from you or your child while using our products or services in the circumstances listed above or beyond, yours and your child’s personal information collected in such circumstances will be kept confidential and shall not be used for illegal purposes, or copied, used or provided to any third party illegally, or accessed by our staff.2.4 A child’s participation or access to an activity cannot be conditioned on him or her providing more Personal Information than is reasonably necessary for that activity.
67	1	Monitor and analyze trends and usage.
68	1	We may communicate with you if you’ve provided us the means to do so. For example, if you’ve given us your email address, we may send you promotional email offers on behalf of other businesses, or email you about your use of the Services. If you do not want to receive communications from us, please indicate your preference by support@aminoapps.com.
69	0	3.1.2 Sharing when required by law: we may externally share your personal information in accordance with the provisions of laws and legislations, based on the requirements of resolving actions and disputes or as legally required by an administrative or judicial authority.
70	1	3. How Does GeoZilla Use Personal Information?
71	1	Third Party Accounts. In certain circumstances (e.g. joining our forums) you may be able to log into certain Nordeus Services via third party accounts (e.g. Facebook). If you choose to do so, you are asked to share certain information with us (the exact information will depend on the particular third party account displayed to you on the permissions page when you attempt to log in, but may include your name, location, gender, birth date, email address, photo, profile URL and friends list).
72	0	Open the “Settings” application of iOS and select the “Privacy” menu item and then the “Advertising” sub-item. If you activate the “Limit ad tracking” option, we can only take limited measures such as identifying unique users or combating fraud. In the same menu you can always delete the IDFA (“Reset Ad-ID”), then a new ID is created which is not merged with the data collected earlier.
73	0	We're constantly trying to improve our Services, so we may need to change this Privacy Policy from time to time as well, but we will alert you to changes via the Services (e.g., by posting a notice), by sending you an email, and/or by some other means. Please note that if you've opted not to receive legal notice emails from us (or you haven't provided us with your email address), those legal notices will still govern your use of the Services, and you are still responsible for reading and understanding them. If you use the Services after any changes to the Privacy Policy have been posted, that means you agree to all of the changes. Use of information we collect now is subject to the Privacy Policy in effect at the time such information is collected.
74	0	"The right to opt-out of marketing communications we send you at any time. You can exercise this right by clicking on the “unsubscribe” or “opt-out” link in the marketing e-mails we send you.  To opt-out of other forms of marketing (such as postal marketing or telemarketing), then please contact us using the contact details provided under section H. ""HOW TO CONTACT US""  below."
75	0	By accessing our Websites or using our Services you consent to our use of cookies in accordance with this Privacy Policy. You can disable cookies through your web or phone browser settings but you may find you are not able to enjoy all the features of our Services if you do so.
76	0	3.1.4 Sharing with authorized partners: some of our services will be jointly provided by us and the authorized partners only for the purposes set forth in this Privacy Policy. We may share some of your personal information with the partners to provide better customer service and a better user experience. For example, we may arrange for the partners to provide the services. We will share your personal information only for legitimate, appropriate, necessary ,specific and defined purposes, and will only share the personal information that is necessary for provision of the services. Our partners shall have no right to use the shared personal information for other purposes irrelevant to the products or services.
77	0	You have the right to retrieve all personal data we collect, as well as the right to request a deletion of that data. We will handle such requests and send you your data in an electronic format. You may email us at vampiresfall@gmail.com for such requests.
78	1	If any new purposes for processing your information arise we will let you know we start to process information on that other purpose by introducing the corresponding changes to this Privacy policy.
79	0	We want you to be in control of your information, so we provide you with the following tools.
80	0	Agents: We employ other companies and people to perform tasks on our behalf and need to share your information with them to provide products or services to you; for example, we may use an analytics company to provide us with insights about your use of the Services.  Unless we tell you differently, our agents do not have any right to use the Personal Information we share with them beyond what is necessary to assist us. Note that an “agent” may also be considered a “partner” in certain circumstances, and would be subject to the terms of the “Information that’s been de-identified” section in that regard.
81	0	We may also disclose your Personal Data to any other person with your consent to the disclosure
82	0	LIKE has zero tolerance to any form of child abuse or exploitation. Your data (including private messages) may be shared with law enforcement agencies if we have reasonable grounds to believe that you have engaged in child pornography, or if we are requested to do so by law enforcement agencies.
83	1	5.2. Information We May Receive When You Connect to Third-Party Social Networks
84	0	Eyewind team has adopted this privacy policy (“Privacy Policy”) to explain how Eyewind collects, stores, and uses the information collected in connection with Eyewind’s Services.
85	0	Although we take appropriate measures to safeguard against unauthorized disclosure or access of your information, no security measure is perfect.  Thus, we cannot guarantee the security of your information.  You hereby agree to use our Services at your own risk.  We do not assume any responsibility for the unauthorized use or access of your information under our control.
86	0	Through your account settings, you may access, and, in some cases, edit or delete the information you’ve provided to us.
87	0	o logistics partners for providing delivery services for Buyers, including return and exchange of products, and warehousing services for Sellers;
88	0	Please note: You can find published age recommendations on: Apple’s App Store on iTunes, Google Play, Amazon App Store and Windows App Store . However, these age or maturity classifications refer only to the content in our games (similar to movie ratings G, PG or PG-13 in the U.S., but related to gameplay, animations, etc.). For more on how these categories are defined, visit these support websites for Apple, Google, Amazon and Windows.
89	0	If your personal information changes, or if you no longer desire our service, you may email us at support@geozilla.com to deactivate your account. You may also correct, update, or amend your personal information in your profile settings within the GeoZilla app or by emailing us. Removing GeoZilla from your mobile device will not delete the personal information that has been retained about you. If you leave the your circles, we will retain your user content in the event that you would like to access it in the future. Your user content can be deleted permanently by emailing a request to support@geozilla.com.
90	1	3.Payment data.
91	1	OneNote allows you to edit a notebook on a shared location or a SharePoint site, and then to periodically merge your changes with changes from others.
92	1	For advertising purposes
93	1	information about your wireless and mobile network connections, such as your service provider and signal strength.
94	0	CXZH.LTD assumes no responsibility when it or a third party uses your personal information in accordance with provisions of relevant laws or regulations or this privacy policy.
95	0	We do not knowingly collect or solicit personal data about or direct or target interest based advertising to anyone under the age of 13 or knowingly allow such persons to use our Services.  If you are under 13, please do not send any data about yourself to us, including your name, address, telephone number, or email address.  No one under the age of 13 may provide any personal data.  If we learn that we have collected personal data about a child under age 13, we will delete that data as quickly as possible.  If you believe that we might have any data from or about a child under the age of 13, please contact us.
96	1	The App may further ask you to allow us to post on such Third-Party Social Networks on your behalf (e.g. status updates). Please keep in mind that we will only do that if specifically allowed by you and we will store ID and your full name for the purposes of user identification. Other information will be merely stored within the App on your device so that the App will be able to communicate with Third Party Social Network directly.
97	0	informing players, that have not been playing for a while, about new content in the Game. We give a list of these users in the form of Advertising IDs to an ad network. Ad network then shows these users ads about the new content.
98	0	We may work with third party service providers (e.g. ad network and measurement services) to display advertising on the Nordeus Services and to manage our ads on third party sites. We may share certain information (such as your email address, country of residence and your age) with third parties so that we can better target ads and content to you. You can choose to prevent your device’s ad identifier being used for interest-based advertising by updating the settings on your device and you may be able to opt-out from the collection of information by some of our advertising partners as further detailed in our Cookie Policy.
99	0	In connection with our provision of the Platform and its connected services, we may transfer your personal information to countries outside of the EEA, including to countries that may not provide the same level of data protection as your home country such as the United States and China. We take appropriate steps to ensure that recipients of your personal information are bound to duties of confidentiality and we implement appropriate measures to ensure your personal information will remain protected in accordance with this Privacy Policy, such as standard contractual clauses. A copy of those clauses can be requested from DataProtection@service.alibaba.com.
100	0	7. Transfer of Data Outside Your Territory.
101	0	Once a user indicates that he or she is under the age of 13, we will not collect any personal information from that user except certain limited information permitted by the law.  For example, we may ask for the name and online contact information of a child user’s parent in order to provide notice and obtain a parental consent.  In addition, we may collect certain information permitted by the law to support and protect the security, integrity and operation of our Services.
102	1	If someone from the invitees does not register within a few days after the invitation, we can send them a reminder of your invitation. You can invite all your friends or just some of them, but please remember the minimum age for Topface. You are responsible for the consent of your friends to receive invitations.
103	0	SHAREit does not knowingly collect any personal identification information from children under the age of 13 (or such legally required age of consent for Juveniles as defined under applicable laws) or knowingly allow such person to register on SHAREit. In the event that we are notified that we have collect personal information from a child under the age of 13 (or such legally required age of consent for Juveniles as defined under applicable laws) without parental consent, we will suspend the account and delete relevant information as quickly as possible. If you believe that we might have any information from a child under 13(or such legally required age of consent for Juveniles as defined under applicable laws), please contact us at legalsupport@ushareit.com.
104	0	Information we automatically collect when you use our Services:  Some Personal Data is automatically collected when you use our Services, such as the following:Device identifiers
105	0	We will not share your personal information with any company, organization and individual other than the service providers of Tantan, except in the following circumstances.
106	1	We may also store some information locally on your device. For example, we may store information as local cache so that you can open the app and view content faster.
107	0	We want you to be in control of your information, so we provide you with the following tools.
108	1	If you communicate with us via our support section or via email, we may collect your email address voluntarily submitted.
109	1	In providing Application, we collect, store and use the following Information relating to you:1.1 Personal Information
110	1	5.1. Connecting to Third-Party Social Networks
111	0	When you create a Microsoft account through Microsoft Office or Office.com, the registration information you provide is stored in your Microsoft account profile, and some of that registration information might be stored by the Office.com service. To learn more about the Microsoft account service, the information stored in the Microsoft account profile, and how Microsoft account uses and helps to protect your personal information, read the Microsoft account Privacy Statement.
112	0	The Service may contain links to other websites. The fact that the Service links to a website or presents a banner ad or other type of advertisement does not mean that LONG TECH NETWORK LIMITED endorses or authorizes that third party, nor is it a representation of our affiliation with that third party. LONG TECH NETWORK LIMITED is in no way responsible for the privacy policies of these other websites to which users choose to access from the Service. Please be sure to read the privacy policies of those websites when exiting the Service.
113	0	If you have any requests, questions or concerns about our use of your Personal Data and this Privacy Policy, please contact us at DataProtection.AE@aliexpress.com (for AliExpress.com users) or DataProtection@service.alibaba.com (for Alibaba.com users).
114	0	CXZH.LTD complies with international information criterion to protect your personal information. These measures include some technical and programmed steps that can protect your data against misuse, illegal access, disclosure, losing, modification or destruction. We use security socket layer (SSL) to transmit credit card and your or your child’s geo location information. We follow generally accepted industry standards to protect the personal information submitted to us, both during transmission and once we receive it. No method of transmission over the Internet, or method of electronic storage, is 100% secure, however. Therefore, we cannot guarantee its absolute security.
115	0	We are very concerned about safeguarding the confidentiality of your information. We employ administrative, physical and electronic measures designed to protect your Information from unauthorized access and use. Please be aware that no security measures that we take to protect your information are absolutely guaranteed to avoid unauthorized access or use of your Information which is impenetrable.
116	0	We will not sell, trade, rent or disclose any of the personal information you provide to us for any reason, without your prior consent. Otherwise, your Personal Information will only be disclosed where required or allowable by law. We may share generic aggregated demographic information not linked to any personal identification information regarding visitors and users with our business partners, trusted affiliates and advertisers for the purposes outlined above.
117	1	Google Privacy Policy: https://policies.google.com/privacy
118	0	You have the right to lodge a complaint with data protection regulators. Topface has its main office at Boubolina building, flat 40, 1060, Nicosia, Cyprus and the Information Commissioners’ Office (ICO) is our lead regulator. You can find out how to make a request to the ICO. If you are in the EU, you can also contact the local data protection authority who can communicate with the information authority on your behalf.
119	0	If there are any conflicts between this section and any other provision of this Privacy Policy, the policy or portion that is more protective of Personal Data shall control to the extent of such conflict. If you have any questions about this section or whether any of the following applies to you, please contact us at legal@aminoapps.com.
120	1	(“Advertising Data”)
121	1	To process payments: we may use the information Users provide about themselves when placing an order only to provide service to that order. We do not share this information with outside parties except to the extent necessary to provide the service.
122	1	Usage information
123	1	Diagnose or fix technology problems reported by our Users or engineers that are associated with certain IP addresses or User IDs
124	0	"We at Alibaba.com (""we"", ""us"") recognize the importance of privacy and confidentiality of personal information. "
125	1	Personal information that LIKE processes includes:1.Profile information, such as name (you may use your real name if you are comfortable to do so, and you may also use an alias), cell phone number, email address, photo, interests, age, gender, hometown, education and occupation.2.Automatic information, such as your IP address, device id, device model, time zone, location, location information, browser information, information in LIKE cookies (cookie is a small piece of data file that is stored on your computer or mobile device), etc.3.Contact information. If you allow LIKE to access the address book of your device, LIKE may process the information of your address book in order to connect with your contacts via LIKE. You may at any time allow or disallow LIKE to access your address book by changing your settings.4.Uploaded files. You may upload video or audio files to LIKE, which LIKE will process accordingly.5.Face data. If you choose to create an avatar, sticker or emoji using your face, LIKE will process your face data accordingly. We will not use your face data for marketing, advertising or use-based data mining, including by third parties.6.If you reach us by your email or phone, we will use your email address or phone number to contact you.7.If you create a LIKE account by connecting with a third-party service, such as WeChat, QQ, Weibo, Facebook, Google, YouTube, Instagram or VK, or if you connect a LIKE account with a third-party account, we will use information from such third-party service, including your third-party service user name, gender, profile image, birthday and third-party service friend list.
