,doc_id,doc_name,par_id,par,label,par_length
34,0,legal.ubi.com.txt,34,"Ubisoft Services, including Uplay.com, may offer a public profile feature (""Public Profile"") that allows you to publish information, including personal information, to the public Internet. Other than as stated on the applicable Public Profile site, the information you upload or input to your Public Profile will default to the privacy level you choose at sign-in, and you can choose to change the privacy settings at any time. By default, certain aspects of the Public Profile are set to ""public"". Those aspects of the Public Profile that are designated as ""public"" will be visible by everyone, including people not registered within the Ubisoft environment, and may be indexed and displayed through public search engines when someone searches for you.  If you post your personal information to a Public Profile, including a video, image or photo, you should be aware that these may be viewed, collected, copied and/or used by other users without your consent.  We are not responsible for disclosure by other users of your Personal Information, including without limitation, videos, images or photos that you choose to submit on the Ubisoft Services. Also, please remember that the Personal Information you provide to us as part of your Public Profile may reveal or allow others to identify aspects of your life that you may not choose to state on your Public Profile directly  (for example, your picture may reveal your gender). ",Third Party Sharing and Collection,1431
35,0,legal.ubi.com.txt,35,"Certain Services may feature a friend finder tool. By using our friend finder tools, you acknowledge that use of these tools will help you find your contacts and will also allow your contacts to associate your Uplay Account, other Ubisoft accounts if any (and related gaming entitlements, including games played on PC, mobile and console platforms) with your social networking profile and/or email address. Your resulting friends' list, which may be accessible across Ubisoft sites, will be subject to this Privacy Policy.  Note that the friends that you choose to include on any friends' list may be able to find and/or identify you in the context of different Ubisoft products and Services, and may see the profiles and information you have made visible to them or to everyone. Similarly, Ubisoft may also collect or receive information about you from other Ubisoft users who choose to upload their email and other contacts.  This information will be stored by us and used primarily to help you and your friends connect. ",Other,1023
36,0,legal.ubi.com.txt,36,"6. Does Ubisoft Use Cookies, Track IP Addresses or Use Other Passive Means to Collect Information?",Other,98
37,0,legal.ubi.com.txt,37,"Cookies. Ubisoft uses cookies on the Services. A ""cookie"" is a small bit of record-keeping information that web sites often store on a user's computer. Cookies do not include people's names, e-mail addresses, or other information that is personally identifiable; they are typically used to quickly identify a user's computer and to ""remember"" things about the user's visit. Ubisoft may set cookies for your web browser as you visit our websites, use our products or visit a website where Ubisoft provides ads, content or analytics. For example, Ubisoft uses cookies to keep track of selected items in your shopping cart on our online store and to remember your Account identifier. You can disable cookies or set your browser to alert you when cookies are being sent to your computer, although this may affect your ability to shop online or to access certain features of our Services. Each browser is different, so check the ""Help"" menu of your browser to learn how to change your cookie preferences. In addition to Ubisoft using cookies on our network of websites, Ubisoft may allow certain partners to set and access their cookies on your computer. These companies use of cookies is subject to their own privacy policies, not the Ubisoft Privacy Policy. Please review them carefully. For more information about cookies, please see http://www.allaboutcookies.org. You can see the list of companies that may implement and/or access cookies on your computer, mobile or device, and how to opt-out to such cookies at https://legal.ubi.com/cookies/",Cookies and Similar Technologies,1543
38,0,legal.ubi.com.txt,38,IP addresses. Ubisoft also keep tracks of Internet Protocol (IP) addresses for safety and security reasons. An IP address is a number that is used by computers on the network to identify your computer every time you log on to the Internet.,Cookies and Similar Technologies,239
39,0,legal.ubi.com.txt,39,"Other passively collected information. UBISOFT may on its own, or with the help of third party analytics tools, collect non-personally identifiable information concerning your and other users’ gaming hardware, habits, behaviours and use of our Services. UBISOFT collects such information to better adapt our Services to users’ interests and for a better quality of our Services. The information collected may contain the following, without limitation: device unique identity, including MAC address, console, mobile, tablet and console unique identifier or other device identifiers and settings, internet provider, carrier, operating system, hardware information, localization information, date and time spent on the Services, game scores, game metrics, achievements, rankings, time played and statistics, feature usage, advertising conversion rates, monetization rate, purchase history and other similar information. UBISOFT uses third party ad serving technologies that may collect information as a result of ad serving in the Services and that may display behavioural and non-behavioural advertisements on our Services. The information collected and used for the targeted advertising may contain the following, without limitation: age and gender, number views of an advertisement, device unique identity or other device identifiers and settings, information about Your use of the products and Services, Compatible Mobile Terminal, and other Internet sites (including third party web pages and mobile Internet sites) viewed by you (as well as date and time viewed), advertisement(s) served, the advertisement(s)’ in game location and length, and your response to the advertisement(s) (if any). The analytics tools and ad serving technologies may use server log files, web beacons, cookies, tracking pixels and other technologies to collect said information and may combine the information collected on other UBISOFT Services with information collected from other third party websites, products and services and with demographic, advertisement, market and other analytics surveys. Standing alone, this information is not personal data; however, if UBISOFT combines any of this information with personal data, UBISOFT will treat this information as personal data pursuant to this Privacy Policy. You will find a list of our partners whose analytic tools and ad serving technologies are used in our Services at https://legal.ubi.com/cookies/. UBISOFT makes its best efforts to provide You with the links to our partners’ own privacy policies according to which their tools and technologies are used and when available the link to allow You to opt-out from their services",Cookies and Similar Technologies,2668
40,0,legal.ubi.com.txt,40,Information passively collected by Ubisoft may be used in an aggregated form or to identify specific patterns of you or any individual.,Cookies and Similar Technologies,135
41,0,legal.ubi.com.txt,41,7. Who is collecting my personal information and how will it be used?,Other,69
42,0,legal.ubi.com.txt,42,"The information you submit to our Services is collected and used by Ubisoft as set out in this Privacy Policy. In addition, Ubisoft may use the submitted information to send you advertising or promotional materials, including information about special rebates, promotional offers and other events of interest in accordance with your choices. We also use your personal information for our internal marketing and demographic studies, so we can constantly improve the Services we provide you and to better meet your needs. Additionally, Ubisoft may use your personal information outside of its Services to provide you with products, services or advertisements we believe may be of interest to you.",First Party Collection,694
43,0,legal.ubi.com.txt,43,"From time to time, Ubisoft may employ third-party vendors, to collect personal information on Ubisoft's behalf for technical purposes. These third parties provide internal support to Ubisoft by operating some of the Services we provide you, including without limitation email services, payment processing within our Services or our online shop, and for online product fulfilment. If we solicit third parties to collect personal information on our behalf, we require all such third parties to comply with and adhere to this Privacy Policy. Although these third-party vendors, not Ubisoft, collect the personal information you provide when requesting such Services, they do not share your personal information with third parties nor will the personal information shared with such third parties be used for marketing purposes without your consent.",First Party Collection,844
44,0,legal.ubi.com.txt,44,"Please be aware that your personal information may be transferred to, stored in, and processed in Canada. The data protection and other laws of Canada have been recognised by the European Commission as providing an adequate level of protection for processing personal data. Please be aware that Ubisoft may duplicate your information within Ubisoft’s own databases for technical purposes or for the uses described in this Privacy Policy.",Data Transfer,437
45,0,legal.ubi.com.txt,45,8. With whom does Ubisoft share my personal information?,Other,56
46,0,legal.ubi.com.txt,46,"Ubisoft may share your personal information among the Ubisoft group of companies and with its technical partners described in Section 7. This sharing enables us to provide you with information about our Services, which might interest you. To the extent that our corporate affiliates and/or technical partners have access to your information, they will follow practices that are at least as restrictive as the practices described in this Privacy Policy.",Third Party Sharing and Collection,452
47,0,legal.ubi.com.txt,47,"From time to time, we are approached by companies and organizations that provide products or services that we believe may be of interest to you, and we may share your personal information with such third parties in accordance with your choices and after we received your consent. We strive to limit use of the information you provide to those offers that we think you would appreciate receiving. If you do not wish to receive information from these third party partners, you can opt out at any time, including at the time of registration, by sending a request to us (see Section 13) or by modifying our preferences in your Account preferences page.",Third Party Sharing and Collection,648
48,0,legal.ubi.com.txt,48,"Should you decide to link your Ubisoft Account to your console manufacturer gaming account Ubisoft will only exchange information regarding your age, country, date of birth and email with such parties. No other personal information such as your credit card information or address will be exchanged with such parties.",Third Party Sharing and Collection,316
49,0,legal.ubi.com.txt,49,"Custom Content. We may work with trusted marketing partners to bring you more useful and interesting advertising content on our Services and on third party sites and services.  We may do this by sharing or matching the personal information you have provided us on the Services with the information (which may include personal information) you have provided third parties marketing partners.  If you do not want Ubisoft to match your personal information with trusted partners in order for us to tailor ads or other custom content for you on our Services and third party sites and services, please do not check the box labelled ""Share my information with selected third parties"" at the moment of creation of your Account or within your Account settings at any time.  If you do not check the box related to this Custom Content or otherwise opt-out from this Custom Content by unchecking the box within your Account settings at any time, Ubisoft will no longer share your personal information with partners to tailor ads or other custom content for you following the date of your request.  Please note that opting-out from the Custom Content will not change the behavior of third parties collecting information on the Services. Please see how to opt-out of third party collection in ""Other passively collected information"" Section above. The list of such trusted marketing partners is available at legal.ubi.com/active-sharing/",Third Party Sharing and Collection,1424
50,0,legal.ubi.com.txt,50,9. Can I choose not to receive Ubisoft communications anymore?,Other,62
51,0,legal.ubi.com.txt,51,"Once you register to our Services and/or purchase one of our products, Ubisoft will send you promotional communications about its own products and Services that you may be interested in by email. Along with every communication sent to you, Ubisoft gives you the opportunity to discontinue receiving future communications from Ubisoft.",User Control,334
52,0,legal.ubi.com.txt,52,"If you do not want Ubisoft to send you communications about special rebates or promotional offers, you may opt-out from receiving these communications at the time your personal information is collected or by contacting us by:email at emea-email-support@ubisoft.com",User Control,264
53,0,legal.ubi.com.txt,53,"post at Ubisoft EMEA SAS, 28 rue Armand Carrel, 93108, Montreuil-sous-bois, France (written in English language)",User Control,112
54,0,legal.ubi.com.txt,54,10. How do I access my personal information?,Other,44
55,0,legal.ubi.com.txt,55,"If for any reason you wish to question, view, correct or delete the personal information collected about you by Ubisoft or its technical partners, please send an email to emea-email-support@ubisoft.com or write to Ubisoft EMEA SAS, 28 rue Armand Carrel, 93108, Montreuil-sous-bois, France (written in English language). We will be happy to review, update or remove information as appropriate. However, we may still retain information in our files to resolve disputes, enforce our agreements, due to technical or legal requirements or matters related to security, integrity or operation of our Services.",User Right,602
56,0,legal.ubi.com.txt,56,11. Does Ubisoft Collect Personal Information from Children Under 12?,Other,69
57,0,legal.ubi.com.txt,57,"Unless stated specifically to the contrary on the applicable Ubisoft Service, Ubisoft’s Services are intended for a general audience. Ubisoft encourages parents and guardians to spend time online with their children. We urge parents to instruct their children to never give out their real names, addresses or phone numbers, without permission, when using the Internet. We recognize a special obligation to protect personal information obtained from young children. Therefore, in order for children under 12 years old to register on any Service, we require that the child provides the email address, or other contact information, of a parent or guardian who will be contacted by Ubisoft in order to inform, confirm, modify or refuse his or her child’s registration. Ubisoft reserves the right to request written proof of the parent or guardian’s authorization at any time. Until the parent or guardian answered to Ubisoft’s email pursuant to Ubisoft’s instructions, the child’s use of the Services will be limited.",Internal and Specific Audiences,1013
58,0,legal.ubi.com.txt,58,12. What Safeguards Does Ubisoft Use to Protect My Personal Information?,Other,72
59,0,legal.ubi.com.txt,59,"We take your privacy and the security of your personal information very seriously. To protect your personal information, Ubisoft maintains appropriate safeguards to ensure the security, integrity and privacy of the information you have provided. We use robust security measures to protect personal information from loss, misuse and alteration. We use industry-standard practices such as encrypted communications, physically secured rooms, firewalls and password protection systems to safeguard the confidentiality of your personal information.",Data Security,543
60,0,legal.ubi.com.txt,60,"In addition, we take reasonable steps to assure that third parties who collect personal information on our behalf provide sufficient protection of personal information in addition to requiring their compliance with this Privacy Policy at all times.",Data Security,248
61,0,legal.ubi.com.txt,61,13. How do I contact Ubisoft about my personal information?,Other,59
62,0,legal.ubi.com.txt,62,"Any questions or complaints or comments about this Privacy Policy or our use of your personal information, please contact our Privacy Policy Administrator by:email at emea-email-support@ubisoft.com or,",Privacy Contact Information,201
63,0,legal.ubi.com.txt,63,"post at Ubisoft EMEA SAS, 28 rue Armand Carrel, 93108, Montreuil-sous-bois, France (written in English language)",Privacy Contact Information,112
64,0,legal.ubi.com.txt,64,14. Privacy Policy and Terms of Use,Other,35
65,0,legal.ubi.com.txt,65,The terms of this Privacy Policy are incorporated into our Terms of Use. Please review our Terms of Use at: legal.ubi.com,Other,121
66,0,legal.ubi.com.txt,66,All terms in capital used in this Privacy Policy have the meaning as those defined in the Terms of Use located at legal.ubi.com,Other,127
67,1,kiarygames.com.txt,0,Privacy Policy,Other,14
68,1,kiarygames.com.txt,1,"Effective date: September 20, 2018",Other,34
69,1,kiarygames.com.txt,2,"Kiary games (""us"", ""we"", or ""our"") operates Tiny Room Stories: Mystery Town mobile application (the ""Application"").",Introductory/Generic,115
70,1,kiarygames.com.txt,3,"This page informs you of our policies regarding the collection, use, and disclosure of personal data when you use our Applicataion and the choices you have associated with that data.",Introductory/Generic,182
71,1,kiarygames.com.txt,4,Information Collection And Use,Other,30
72,1,kiarygames.com.txt,5,We collect several different types of information for various purposes to provide and improve our Application to you.,First Party Collection,117
73,1,kiarygames.com.txt,6,"Among the types of Personal Data that this Application collects, by itself or through third parties, there are: Usage Data, unique device identifiers for advertising (Google Advertiser ID or IDFA, for example) and geographic position.",First Party Collection,234
74,1,kiarygames.com.txt,7,Detailed information on the processing of Personal Data,Other,55
75,1,kiarygames.com.txt,8,Personal Data is collected for the following purposes and using the following services:Advertising,First Party Use,98
76,1,kiarygames.com.txt,9,"This type of service allows User Data to be utilized for advertising communication purposes displayed in the form interstitial and video advertisements on this Application, possibly based on User interests. This does not mean that all Personal Data are used for this purpose. Some of the services listed below may use Cookies to identify Users or they may use the behavioral retargeting technique, i.e. displaying ads tailored to the User’s interests and behavior, including those detected outside this Application. For more information, please check the privacy policies of the relevant services.",First Party Use,597
77,1,kiarygames.com.txt,10,Google AdMob,Other,12
78,1,kiarygames.com.txt,11,AdMob is an advertising service provided by Google Inc,Other,54
79,1,kiarygames.com.txt,12,Privacy Policy,Other,14
80,1,kiarygames.com.txt,13,Analytics,First Party Use,9
81,1,kiarygames.com.txt,14,The services contained in this section enable Us to monitor and analyze game data and can be used to keep track of User behavior.,First Party Use,129
82,1,kiarygames.com.txt,15,Unity Analytics (Unity Technologies ApS),First Party Use,40
83,1,kiarygames.com.txt,16,Unity Analytics is an analytics service provided by Unity Technologies ApS. Personal Data collected: Usage Data and various types of Data as specified in the privacy policy of the service.,First Party Use,188
84,1,kiarygames.com.txt,17,Privacy Policy,Other,14
85,1,kiarygames.com.txt,18,Google Analytics for Firebase (Google Inc.),First Party Use,43
86,1,kiarygames.com.txt,19,"Google Analytics for Firebase is an analytics service provided by Google Inc. In order to understand Google's use of Data, consult Google's partner policy. Firebase Analytics may share Data with other tools provided by Firebase, such as Crash Reporting, Authentication, Remote Config or Notifications. The User may check this privacy policy to find a detailed explanation about the other tools used by the Us. This Application uses identifiers for mobile devices (including Android Advertising ID or Advertising Identifier for iOS, respectively) and technologies similar to cookies to run the Firebase Analytics service. Personal Data collected: Cookies, unique device identifiers for advertising (Google Advertiser ID or IDFA, for example) and Usage Data.",First Party Use,756
87,1,kiarygames.com.txt,20,Privacy Policy,Other,14
88,1,kiarygames.com.txt,21,Online Leaderboard,Other,18
89,1,kiarygames.com.txt,22,We collect Firebase User ID to create and maintain online Leaderboard.,First Party Collection,70
90,1,kiarygames.com.txt,23,Changes To This Privacy Policy,Other,30
91,1,kiarygames.com.txt,24,We may update our Privacy Policy from time to time. We will notify you of any changes by posting the new Privacy Policy on this page.,Policy Change,133
92,1,kiarygames.com.txt,25,You are advised to review this Privacy Policy periodically for any changes. Changes to this Privacy Policy are effective when they are posted on this page.,Policy Change,155
93,1,kiarygames.com.txt,26,Contact Us,Other,10
94,1,kiarygames.com.txt,27,"If you have any questions about this Privacy Policy, please contact us:kiary@kiarygames.com",Privacy Contact Information,91
95,2,evolvegames.net.txt,0,Privacy Policy,Other,14
96,2,evolvegames.net.txt,1,evolvegames built the Minesweeper GO app as a Free app. This SERVICE is provided by evolvegames at no cost and is intended for use as is.,Introductory/Generic,137
97,2,evolvegames.net.txt,2,"This page is used to inform website visitors regarding my policies with the collection, use, and disclosure of Personal Information if anyone decided to use my Service.",Introductory/Generic,168
98,2,evolvegames.net.txt,3,"If you choose to use my Service, then you agree to the collection and use of information in relation to this policy. The Personal Information that I collect is used for providing and improving the Service. I will not use or share your information with anyone except as described in this Privacy Policy.",Introductory/Generic,302
99,2,evolvegames.net.txt,4,"The terms used in this Privacy Policy have the same meanings as in our Terms and Conditions, which is accessible at Minesweeper GO unless otherwise defined in this Privacy Policy.",Introductory/Generic,179
100,2,evolvegames.net.txt,5,Information Collection and Use,Other,30
101,2,evolvegames.net.txt,6,"For a better experience, while using our Service, I may require you to provide us with certain personally identifiable information, including but not limited to Name, Avatar. The information that I request is retained on your device and is not collected by me in any way",First Party Collection,270
102,2,evolvegames.net.txt,7,The app does use third party services that may collect information used to identify you.,First Party Use,88
103,2,evolvegames.net.txt,8,Link to privacy policy of third party service providers used by the app,First Party Use,71
104,2,evolvegames.net.txt,9,Google Play Services,First Party Use,20
105,2,evolvegames.net.txt,10,Log Data,Other,8
106,2,evolvegames.net.txt,11,"I want to inform you that whenever you use my Service, in a case of an error in the app I collect data and information (through third party products) on your phone called Log Data. This Log Data may include information such as your device Internet Protocol (“IP”) address, device name, operating system version, the configuration of the app when utilizing my Service, the time and date of your use of the Service, and other statistics.",Cookies and Similar Technologies,435
107,2,evolvegames.net.txt,12,Cookies,Other,7
108,2,evolvegames.net.txt,13,Cookies are files with small amount of data that is commonly used an anonymous unique identifier. These are sent to your browser from the website that you visit and are stored on your device internal memory.,Cookies and Similar Technologies,207
109,2,evolvegames.net.txt,14,"This Service does not use these “cookies” explicitly. However, the app may use third party code and libraries that use “cookies” to collection information and to improve their services. You have the option to either accept or refuse these cookies and know when a cookie is being sent to your device. If you choose to refuse our cookies, you may not be able to use some portions of this Service.",Cookies and Similar Technologies,394
110,2,evolvegames.net.txt,15,Service Providers,Other,17
111,2,evolvegames.net.txt,16,I may employ third-party companies and individuals due to the following reasons:To facilitate our Service;To provide the Service on our behalf;To perform Service-related services; orTo assist us in analyzing how our Service is used.,Links,232
112,2,evolvegames.net.txt,17,"I want to inform users of this Service that these third parties have access to your Personal Information. The reason is to perform the tasks assigned to them on our behalf. However, they are obligated not to disclose or use the information for any other purpose.",Links,262
113,2,evolvegames.net.txt,18,Security,Other,8
114,2,evolvegames.net.txt,19,"I value your trust in providing us your Personal Information, thus we are striving to use commercially acceptable means of protecting it. But remember that no method of transmission over the internet, or method of electronic storage is 100% secure and reliable, and I cannot guarantee its absolute security.",Data Security,307
115,2,evolvegames.net.txt,20,Links to Other Sites,Other,20
116,2,evolvegames.net.txt,21,"This Service may contain links to other sites. If you click on a third-party link, you will be directed to that site. Note that these external sites are not operated by me. Therefore, I strongly advise you to review the Privacy Policy of these websites. I have no control over and assume no responsibility for the content, privacy policies, or practices of any third-party sites or services.",Links,391
117,2,evolvegames.net.txt,22,Children’s Privacy,Other,18
118,2,evolvegames.net.txt,23,"These Services do not address anyone under the age of 13. I do not knowingly collect personally identifiable information from children under 13. In the case I discover that a child under 13 has provided me with personal information, I immediately delete this from our servers. If you are a parent or guardian and you are aware that your child has provided us with personal information, please contact me so that I will be able to do necessary actions.",Internal and Specific Audiences,451
119,2,evolvegames.net.txt,24,Changes to This Privacy Policy,Other,30
120,2,evolvegames.net.txt,25,"I may update our Privacy Policy from time to time. Thus, you are advised to review this page periodically for any changes. I will notify you of any changes by posting the new Privacy Policy on this page. These changes are effective immediately after they are posted on this page.",Policy Change,279
121,2,evolvegames.net.txt,26,Contact Us,Other,10
122,2,evolvegames.net.txt,27,"If you have any questions or suggestions about my Privacy Policy, do not hesitate to contact me at dev.evolvegames@gmail.com",Privacy Contact Information,124
123,3,www.anghami.com.txt,0,Download Anghami Login/SignUp,Other,29
124,3,www.anghami.com.txt,1,EXPLORE,Other,7
125,3,www.anghami.com.txt,2,MY MUSIC,Other,8
126,3,www.anghami.com.txt,3,Legal — this is important,Other,25
127,3,www.anghami.com.txt,4,Terms of Service,Other,16
128,3,www.anghami.com.txt,5,"If you have purchased a subscription to Anghami, you will be charged on a monthly, half-yearly, or yearly basis based on the plan you choose. If you have purchased a subscription to Anghami, you have the right to cancel your purchase and receive a full refund within 14 days of purchase. However, if you access the Anghami app within the 14-day period, you will no longer be eligible for a refund if you decide to cancel your purchase.",User Control,435
129,3,www.anghami.com.txt,6,"You may cancel your subscription to Anghami at any time via the mobile app or on Anghami’s website. The termination shall have effect at the expiry of the then-current subscription period that you have already paid for (e.g. one month, 3 months, 6 months, or a year) and you will not be refunded for any remaining portion of subscription fees you have already paid for (unless with the 14-day period and under the conditions described above).",User Control,442
130,3,www.anghami.com.txt,7,"Anghami reserves the right to terminate and/or suspend your account at any time in case of unauthorised use of the service. If Anghami terminates or suspends your account for any suspicious activity, Anghami shall have no liability or responsibility to you, and will not refund any amounts that you have previously paid.",Other,320
131,3,www.anghami.com.txt,8,A- Privacy Policy,Other,17
132,3,www.anghami.com.txt,9,"This Privacy Policy governs the manner in which Anghami collects, uses, maintains and discloses information collected from users (each, a 'User') of the www.anghami.com website and Anghami app ('Site/App') (“Data”). This privacy policy applies to the Site/App and all products and services offered by Anghami (the “Service”). We use your Data to provide and improve the Service. By using the Service, you agree to the collection and use of information in accordance with this policy.",Introductory/Generic,483
133,3,www.anghami.com.txt,10,1- Personal identification information: Personal Data,First Party Collection,53
134,3,www.anghami.com.txt,11,"We may collect personal identification information from Users in a variety of ways, including, but not limited to, when Users visit our site, register on the site, and in connection with other activities, services, features or resources we make available on our Site/App. Users may be asked for, as appropriate, name, email address, credit card information. Users may, however, visit our Site/App anonymously. We will collect personal identification information from Users only if they voluntarily submit such information to us. Users can always refuse to supply personally identification information, except that it may prevent them from engaging in certain Site/App related activities.",First Party Collection,687
135,3,www.anghami.com.txt,12,2- Non-personal identification information : Usage Data,First Party Collection,55
136,3,www.anghami.com.txt,13,"We may collect non-personal identification information about Users whenever they interact with our Site/App. Non-personal identification information may include the browser name, the type of computer and technical information about Users means of connection to our Site/App, such as the operating system and the Internet service providers utilized and other similar information.",First Party Collection,378
137,3,www.anghami.com.txt,14,3- Web browser cookies,Cookies and Similar Technologies,22
138,3,www.anghami.com.txt,15,"Our Site/App may use 'cookies' to enhance User experience. User's web browser places cookies on their hard drive for record-keeping purposes and sometimes to track information about them. User may choose to set their web browser to refuse cookies, or to alert you when cookies are being sent. If they do so, note that some parts of the Site/App may not function properly.",Cookies and Similar Technologies,371
139,3,www.anghami.com.txt,16,How we use collected information,First Party Use,32
140,3,www.anghami.com.txt,17,Anghami may collect and use Users personal information for the following purposes:To improve customer service: information you provide helps us respond to your customer service requests and support needs more efficiently.,First Party Use,221
141,3,www.anghami.com.txt,18,To personalize user experience: we may use information in the aggregate to understand how our Users as a group use the services and resources provided on our Site/App.,First Party Use,167
142,3,www.anghami.com.txt,19,To improve our Site/App: we may use feedback you provide to improve our products and services.,First Party Use,94
